objectid,category,ghgrp_id,landfill_name,county_state,landfill_owner_org,year_landfill_opened,landfill_closure_year,current_landfill_status,landfill_design_cap,waste_in_place_tons,waste_in_place_year,lfg_collection_system,lfg_collected_mmscfd,lfg_collected_year,latitude,longitude
606,With Project,1011793,Macon Bibb Walker Road MSWL,"Bibb, GA","Macon-Bibb, GA",1971,2022,Open,,4289957.86,2016,Yes,2.016,,32.8,-83.611
607,Other,,Marble Top Road Landfill,"Walker, GA","Walker County, GA",1977,1998,Closed,,1050000,1998,No,,,34.839431,-85.363464
608,Other,,Morgan Falls,"Fulton, GA","Fulton County, GA",1964,1988,Closed,,,,No,,,33.9691,-84.375
609,Candidate,1003335,Murray County Landfill,"Murray, GA","Murray County, GA",1988,2096,Open,11774579,1540206,2016,No,,,34.68076,-84.73063
610,Candidate,1006279,Newton County Landfill,"Newton, GA","Newton County, GA",1987,2022,Open,1913815,1532684,2016,No,,,33.551581,-83.895508
611,With Project,1002477,Oak Grove Landfill,"Barrow, GA","Republic Services, Inc.",1996,2037,Open,,11708983,2006,Yes,3.98,2013,33.9659,-83.7728
612,With Project,1002863,Old Dixie Highway MSW Landfill,"Whitfield, GA","Dalton-Whitfield Regional Solid Waste Management Authority (DWRSWMA), GA",1980,2042,Open,13184494,5547734,2016,Yes,2.23,2012,34.6516,-84.945
613,Other,,Paulding County Landfill,"Paulding, GA","Paulding County, GA",,,Unknown,,,,No,,,34.02,-84.7995
614,Other,1006328,Pine Bluff Landfill,"Cherokee, GA","Waste Management, Inc.",1990,2053,Open,57583870,19695193,2016,Yes,5,2012,34.273,-84.387
615,With Project,1002478,Pine Ridge Landfill,"Butts, GA","Republic Services, Inc.",1997,2038,Open,37266389,19947685,2016,Yes,3.24,2016,33.2363,-84.1228
616,Other,,Polk County Landfill #1,"Polk, GA","Polk County Board of Commissioners, GA",1971,1994,Closed,,,,No,,,34.007,-85.165
617,Candidate,1007798,R & B (Banks) Landfill,"Banks, GA","Waste Management, Inc.",1988,2040,Open,23654049,12386739,2016,Yes,3.74,2012,34.35184,-83.42719
618,With Project,1004487,Richland Creek Road Landfill,"Gwinnett, GA","Republic Services, Inc.",1989,2040,Open,23232703,16586215,2016,Yes,5.1,2012,34.127,-84.0353
619,Other,1005901,Roberts Road Landfill,"Fayette, GA","Republic Services, Inc.",1976,1993,Closed,,4214375,,Yes,0.379,2012,33.486,-84.442
620,Candidate,1005314,Savannah-Dean Forest Road SL,"Chatham, GA","City of Savannah, GA",1984,2021,Open,,3997873,2016,No,,,32.078,-81.22
621,With Project,1005638,Seminole Road MSW Landfill,"DeKalb, GA","DeKalb County Sanitation, GA",1977,2110,Open,53773364,12618869,2016,Yes,3.168,2013,33.6552,-84.2525
622,Other,,Southern States-Bolton Road,"Fulton, GA","Waste Management, Inc.",1987,1993,Closed,,1667108,,Yes,1.368,,33.8184,-84.4655
623,Other,,Speedway-SR 324 Site I,"Barrow, GA","Republic Services, Inc.",1988,1996,Closed,,2838500,,Yes,,,33.96591,-83.77283
624,With Project,1003983,SR247 MSW Landfill,"Houston, GA","Houston County Board of Commissioners, GA",1987,2228,Open,21780180,3276604,2016,Yes,1.5,,32.399561,-83.55573
625,With Project,1003569,Superior Landfill & Recycling Center,"Chatham, GA","Waste Management, Inc.",1991,2032,Open,19348663,8591750,2016,Yes,2.56,2012,32.025,-81.28
626,Candidate,1007888,Swift Creek Environmental Landfill,"Bibb, GA","Republic Services, Inc.",1980,2011,Closed,5196056,4438313,2011,Yes,2.17,2012,32.8235,-83.5176
627,With Project,1007124,"Taylor County Landfill, LLC","Taylor, GA",Waste Industries,1989,2077,Open,57226769,15880653,2016,Yes,4.608,2012,32.462263,-84.371526
628,Other,,"Toombs County-S1898, PH 3 MSWLF","Toombs, GA","Toombs County, GA",,,Open,,,,Unknown,,,32.146467,-82.388566
629,Candidate,1010392,Turkey Run Landfill,"Meriwether, GA","Waste Management, Inc.",2010,2075,Open,28845477,2513689,2016,No,,,33.163696,-84.848925
631,Other,,Union Hill Church Road MSWLF,"Gordon, GA","Baldwin County, GA",,2066,Open,,,,Unknown,,,32.954,-83.329
632,Candidate,1006025,Walker Mountain Landfill,"Floyd, GA","Floyd County, GA; Rome City",1998,2035,Open,3708810,1784373,2016,No,,,34.19,-85.214799
633,Other,,Watts Road LF,"Fulton, GA","Republic Services, Inc.",1970,1987,Closed,,6000000,,Yes,2.3,,33.7856,-84.4858
634,Other,1003795,WMI-Rolling Hills,"Clayton, GA","Waste Management, Inc.",,1991,Closed,,1000000,,Yes,0.72,,33.6188,-84.4172
635,With Project,1003711,"Wolf Creek Landfill, LLC","Twiggs, GA",Advanced Disposal Services,1992,2029,Open,13122931,4764968,2016,Yes,1.64,2012,32.770535,-83.437873
636,Other,1011026,Layon Municipal Solid Waste Landfill,GU,Guam Solid Waste Authority,2011,2100,Open,10435535,496074,2016,No,,,13.429707,144.649457
637,Other,,Ordot Landfill,GU,Government of Guam,1944,2011,Closed,2500000,2500000,2009,Yes,,,13.439066,144.750611
638,Candidate,1005313,Central Maui Landfill,"Maui, HI","Maui County, HI",1987,2039,Open,7608132,5019318,2016,Yes,0.866,2012,20.86,-156.419
639,Other,,Hana Landfill,"Maui, HI","Maui County, HI",1969,2079,Open,300000,124500,2008,No,,,20.76778,-155.98859
641,Other,,Kalamaula Landfill,"Maui, HI","Maui County, HI",1970,1993,Closed,81625,81625,1993,No,,,21.10096,-157.05001
642,Other,,Kaneohe Marine Corps Air Station Landfill,"Honolulu, HI",United States Marine Corps,1978,2024,Open,,,,No,,,21.448,-157.731
643,Other,,Kapaa,"Honolulu, HI","City and County of Honolulu, HI",1955,,Closed,,4500000,2000,Unknown,,,21.4,-157.767
644,Other,1001595,Kapaa and Kalaheo Sanitary Landfills,"Honolulu, HI","City and County of Honolulu, HI",1970,1995,Closed,5838790,5838786,1995,Yes,0.438,2014,21.401025,-157.77503
645,Candidate,1000216,Kekaha Landfill/Phases I & II,"Kauai, HI","County of Kauai, HI",1953,2021,Open,2868561,2581132,2016,No,,,22.03452,-159.73029
646,Other,,Lanai Landfill,"Maui, HI","Maui County, HI",1969,2020,Open,350000,182910,2008,No,,,20.794,-156.967
647,Other,,Naiwa Landfill,"Maui, HI","Maui County, HI",1993,,Open,121000,90800,2008,No,,,21.118,-157.062
648,Other,,Olowalu Landfill,"Maui, HI","Maui County, HI",1967,1992,Closed,262500,259700,1992,No,,,20.83019,-156.62902
649,Candidate,,South Hilo Landfill,"Hawaii, HI","Hawaii County, HI",1965,2019,Open,1929150,1396049,2009,No,,,19.698,-155.044
650,Candidate,1007708,Waimanalo Gulch Landfill & Ash Monofill,"Honolulu, HI","City and County of Honolulu, HI",1989,2035,Open,21826964,11627081,2016,Yes,0.965,2012,21.344,-158.11279
651,Candidate,1006173,West Hawaii Landfill/Puuanahulu,"Hawaii, HI","Hawaii County, HI",1993,2044,Open,9129661,2359099,2016,Yes,,,19.93241,-155.839
652,Candidate,1000287,Black Hawk County SLF (Area E),"Black Hawk, IA",Black Hawk County Solid Waste Mgmt. Comm.,1975,2054,Open,9118438,5599516,2016,No,,,42.414,-92.32758
653,Candidate,,Boone County Landfill,"Boone, IA","Boone County, IA",1970,2040,Open,2733200,1308357,2010,No,,,42.02985,-93.9194
654,Candidate,1006036,Carroll County Sanitary Landfill,"Carroll, IA",Carroll County Solid Waste Management Commission,1973,2034,Open,2506144,1178525,2016,No,,,42.07127,-94.90601
655,Other,1001766,Cedar Rapids Linn County Solid Waste Landfill #1,"Linn, IA",Cedar Rapids-Linn County Solid Waste Agency,1965,2012,Closed,4000000,3800000,2001,Yes,1.14,2012,41.96469,-91.65193
656,With Project,1001949,Cedar Rapids Linn County Solid Waste Landfill #2,"Linn, IA",Cedar Rapids-Linn County Solid Waste Agency,1972,2035,Open,4793317,3266082,2016,Yes,0.466,2012,42.09371,-91.55547
657,With Project,1007673,Central Disposal Landfill,"Winnebago, IA","Waste Management, Inc.",1972,2167,Open,39432384,5730497,2016,Yes,2.6,,43.382,-93.572
658,Other,,Cherokee County Sanitary Landfill,"Cherokee, IA",,,2147,Open,,,,Unknown,,,42.734733,-95.524642
659,Candidate,1003605,City of Muscatine LF,"Muscatine, IA",Muscatine County Solid Waste Management Agency,1976,2033,Open,2677419,2042882,2016,No,,,41.5173,-90.843
660,Candidate,1002599,Clinton County SLF (East),"Clinton, IA","Clinton County Area Solid Waste Agency, IA",1974,2032,Open,2548490,,,No,,,41.85905,-90.25866
661,With Project,1002610,Des Moines County SLF,"Des Moines, IA","Des Moines County Regional Waste Commission, IA",1964,2082,Open,7199101,2703516,2016,Yes,0.144,2014,40.849,-91.196
662,Candidate,1007690,Dickinson Landfill Inc.,"Dickinson, IA","Waste Management, Inc.",1975,2152,Open,6735428,1804552,2016,Yes,0.931,2012,43.37178,-95.07733
663,Candidate,1000473,Dubuque Metropolitan SLF,"Dubuque, IA","Dubuque Metropolitan Area Solid Waste Agency, IA",1976,2053,Open,7136650,3453254,2016,Yes,0.72,2014,42.45501,-90.77686
664,Other,1001102,Fayette County Landfill,"Fayette, IA","Fayette County Solid Waste Management Commission, IA",1983,2009,Closed,,275484,2001,No,,,42.82,-91.792
665,Candidate,1006153,Great River Regional Solid Waste Authority Landfill,"Lee, IA","Lee County Solid Waste Management Commission, IA",1984,2030,Open,2726803,1779061,2016,No,,,40.656,-91.3095
666,Candidate,1003812,Iowa City SLF,"Johnson, IA","City of Iowa City, IA",1972,2039,Open,8127630,4140055,2016,Yes,0.977,2012,41.645,-91.624
667,Candidate,1006749,Landfill of North Iowa,"Cerro Gordo, IA",Landfill of North Iowa,1971,2083,Open,6508168,3048370,2016,No,,,43.126,-93.3003
668,Candidate,1003990,Loess Hills Regional SLF,"Mills, IA",Iowa Waste Systems,1973,2056,Open,15877375,2607901,2016,No,,,41.022,-95.639
669,Candidate,1010983,Marshall County SLF,"Marshall, IA","Marshall County Solid Waste Management Comm., IA",1975,2024,Open,1332592,1102500,2016,No,,,42.036,-92.982
670,With Project,1007727,Metro Park East Landfill,"Polk, IA",Metro Waste Authority,1972,2048,Open,62610716,22213605,,Yes,5.78,2012,41.600722,-93.345265
671,Other,,Newton SLF,"Jasper, IA","City of Newton, IA",1976,2107,Open,,840000,,No,,,41.671,-93.0655
672,Candidate,1010979,North Central Iowa Regional Sanitary Landfill,"Webster, IA",North Central Iowa Regional Solid Waste Agency,1976,2021,Open,2682502,2338808,2016,No,,,42.47227,-94.169712
673,Candidate,1010524,Northwest Iowa SLF,"Sioux, IA","Northwest Iowa Solid Waste Agency, IA",1974,2082,Open,6420582,2139562,2016,No,,,43.1299,-95.894119
674,Other,,Oak Ridge Landfill,"Pottawattamie, IA",,,,Unknown,,,,Unknown,,,41.241,-95.90679
675,Candidate,1002609,Ottumwa-Wapello County SLF,"Wapello, IA",Ottumwa-Wapello Solid Waste Commission,1975,2057,Open,3290690,1487123,2016,No,,,41.08,-92.473
676,Other,,Poweshiek County SLF,"Poweshiek, IA","South Central Iowa Solid Waste Agency, IA",1977,1995,Closed,,326040,,No,,,41.74614,-92.55877
677,With Project,1002564,Scott Area SLF,"Scott, IA","Waste Commission of Scott County, IA",1977,2053,Open,10900673,4139612,2016,Yes,0.9,,41.47444,-90.68864
678,Other,,Sioux City SLF,"Woodbury, IA","Siouxland Environmental Services, Inc.",1974,2008,Closed,,1144000,,No,,,42.383,-96.0177
679,Candidate,1002691,South Central Iowa Solid Waste Agency LF,"Marion, IA","South Central Iowa Solid Waste Agency, IA",1977,2046,Open,2983072,1277837,2016,No,,,41.25995,-92.95676
681,Candidate,1000382,Winneshiek County Sanitary Landfill,"Winneshiek, IA","Winneshiek County, IA",1974,2038,Open,,1754569,2016,No,,,43.225,-91.67
683,Other,,Bear Lake County Landfill,"Bear Lake, ID","Bear Lake County, ID",1973,2042,Open,,,,No,,,42.3213,-111.2479
684,Other,,Bennett Road Landfill,"Elmore, ID","Elmore County, ID",1988,2070,Open,,,,No,,,43.078,-115.576
685,Other,,Bingham County / Fielding / Goshen Landfill,"Bingham, ID","Bingham County, ID",,2000,Closed,,,,No,,,43.297,-112.07
686,Other,,Bingham County Landfill-Ridge Road,"Bingham, ID","Bingham County, ID",1987,2002,Closed,,,,No,,,43.297,-112.075
687,Other,,Boise County Warm Springs Municipal Landfill,"Boise, ID","Boise County, ID",,,Closed,,,,No,,,43.8526,-115.8737
688,Other,,Bonneville County Landfill,"Bonneville, ID","Bonneville County, ID",1993,,Open,,,,No,,,43.4288,-111.8572
689,Other,,Boundary County Landfill,"Boundary, ID","Boundary County, ID",1971,2022,Open,,,,No,,,48.718577,-116.317134
691,Other,,Butte County Howe Landfill,"Butte, ID","Butte County, ID",,,Open,,,,No,,,43.7885,-113.015
692,Other,1002441,Circular Butte Sanitary LF,"Jefferson, ID","Jefferson County, ID",1996,2050,Open,1394090,,,No,,,43.851,-112.539
693,Other,,Clay Peak Landfill,"Payette, ID","Payette County, ID",1993,2085,Open,,977483,2007,No,,,44.064474,-116.861139
694,With Project,1006763,Fighting Creek Farm Landfill,"Kootenai, ID",County of Kootenai,1993,2040,Open,3619622,2828436,2016,Yes,1.35,2012,47.534,-116.934
695,With Project,1002699,Fort Hall Mine Landfill,"Bannock, ID","Bannock County, ID",1943,2060,Open,4262089,3196780,2016,Yes,0.438,2014,42.782,-112.375
696,Other,,Franklin County Sanitary Landfill,"Franklin, ID","Franklin County, ID",1968,2007,Closed,,,,No,,,42.1433,-111.8192
699,Other,,Goodrich Landfill,"Adams, ID","Adams County, ID",,,Open,,,,No,,,44.635,-116.486
700,With Project,1003446,Hidden Hollow Landfill,"Ada, ID","Ada County, ID",1972,2100,Open,51609362,13745176,2016,Yes,3.82,2012,43.698,-116.283
701,Other,,Hub Butte Landfill,"Twin Falls, ID","Twin Falls County, ID",1994,,Open,,,,No,,,42.4182,-114.4991
702,Other,,Island Park Sanitary Landfill,"Fremont, ID","Fremont County, ID",1980,,Open,75000,50000,2009,No,,,44.4505,-111.3705
703,Other,,Latah Sanitary Landfill,"Latah, ID",Latah Sanitation Inc,1971,1993,Closed,,,,No,,,46.71,-116.902
704,Other,,Lemhi County Landfill 1,"Lemhi, ID","Lemhi County, ID",1980,,Open,,,,No,,,45.118893,-113.861523
705,Other,,Lemhi County Landfill 2,"Lemhi, ID","Lemhi County, ID",1993,2015,Closed,,,,No,,,45.126,-113.833
706,Other,1004840,Milner Butte Landfill,"Cassia, ID","Southern Idaho Regional Solid Waste District, ID",1994,2050,Open,17462989,3751639,2016,Yes,0.936,2017,42.462,-114.005
707,Other,,Oneida County Sanitary Landfill,"Oneida, ID",,1981,2002,Closed,,,,No,,,42.210098,-112.237099
708,Other,1000783,Pickles Butte SLF,"Canyon, ID","Canyon County, ID",1983,2042,Open,11202087,4541674,2016,No,,,43.493,-116.704
709,Candidate,1008253,Simco Road Regional Landfill,"Elmore, ID","Idaho Waste Systems, Inc.",2000,2166,Open,38945263,2237751,2016,No,,,43.256283,-115.902837
710,Other,,St. Anthony Landfill,"Fremont, ID","Fremont County, ID",1965,,Open,100000,75000,2009,No,,,43.9808,-111.6779
711,Other,1001754,Teton County Landfill,"Teton, ID","Teton County, ID",1980,2007,Closed,,,,No,,,43.726,-111.073
712,With Project,1003742,31st Street Landfill,"Cook, IL",Archdiocese of Chicago,1960,1982,Closed,9582457,9582454,1982,Yes,1.45,2012,41.83894,-87.91497
713,Candidate,1002094,ADS/McLean County LF #2,"McLean, IL","Republic Services, Inc.",1990,2018,Open,2841392,2461844,2016,Yes,0.34,2010,40.466463,-89.030787
714,With Project,1001637,Advanced Disposal Orchard Hills Landfill Inc.,"Ogle, IL",Advanced Disposal Services,1998,2027,Open,43973410,25942829,2016,Yes,7.67,2012,42.14322,-89.0769
715,Candidate,1006963,Advanced Disposal Valley View Landfill Inc.,"Macon, IL",Advanced Disposal Services,1957,2049,Open,17456120,9365291,2016,Yes,2,2012,39.8245,-89.0432
716,With Project,1005985,Advanced Disposal Zion Landfill,"Lake, IL",Advanced Disposal Services,1975,2027,Open,32125498,20271264,2016,Yes,6.27,2012,42.48483,-87.88497
717,Other,,Alton Municipal Landfill,"Madison, IL","City of Alton, IL",1976,1992,Closed,1095457,660557,1990,No,,,38.928,-90.179
719,With Project,1003744,Beecher Landfill,"Will, IL","Waste Management, Inc.",1972,1996,Closed,,5500000,,Yes,1.18,2012,41.3915,-87.6388
720,Other,1004353,Belleville Sanitary LF,"St. Clair, IL","Republic Services, Inc.",1974,1993,Closed,2343402,2343402,1993,Yes,0.212,2012,38.48359,-90.011824
721,Other,,Bloomington LF,"McLean, IL",,1964,1990,Closed,,1000000,,No,,,40.465,-89.036
723,Other,1004601,Bond County LF,"Bond, IL","Republic Services, Inc.",1997,2010,Closed,2700000,1581904,,Yes,0.353,2012,38.88497,-89.42086
724,With Project,1004026,Brickyard Disposal & Recycling Inc.,"Vermilion, IL","Republic Services, Inc.",1972,2043,Open,14619020,10490237,2016,Yes,1.5,2010,40.09966,-87.6163
725,With Project,,CDT LF,"Will, IL",CDT Landfill Corporation,1984,2000,Closed,1596000,1596000,2000,Yes,0.5,,41.500371,-88.144914
726,Other,1003509,Chain of Rocks RDF,"Madison, IL","Waste Management, Inc.",1973,2004,Closed,5965128,5965128,2004,Yes,0.568,2012,38.76235,-90.12949
727,With Project,1008012,CID Recycling and Disposal Facility,"Cook, IL","Waste Management, Inc.",1966,2007,Closed,31065973,31065972,2007,Yes,2.74,2012,41.655,-87.578
728,With Project,1007467,Clinton Landfill Inc.,"De Witt, IL","Coulter Companies, Inc.",1970,2063,Open,31481987,7509428,2016,Yes,1.88,2012,40.114,-88.958
729,Other,1006348,Coles County Landfill,"Coles, IL","Republic Services, Inc.",1979,2009,Closed,1374600,824600,2003,Yes,0.733,2012,39.509,-88.267
730,Other,1006289,Congress Development Company LF,"Cook, IL",John Sexton Sand & Gravel,1980,2008,Closed,8861616,,,Yes,5.24,2012,41.8721,-87.8885
731,Candidate,1003216,Cottonwood Hills LF,"St. Clair, IL","Waste Management, Inc.",2000,2084,Open,31564482,6886080,2016,Yes,1.26,2012,38.26,-89.78
732,With Project,1007992,Countryside LF,"Lake, IL","Waste Management, Inc.",1978,2025,Open,18796217,14808209,2016,Yes,5.92,2012,42.32424,-88.0289
733,Other,1006991,Davis Junction Landfill,"Ogle, IL","Republic Services, Inc.",1976,1995,Closed,,,,Yes,0.403,2012,42.147,-89.0825
734,Candidate,1007724,DeKalb County LF,"DeKalb, IL","Waste Management, Inc.",1958,2020,Open,6713364,4545328,2016,Yes,1.51,2012,41.898,-88.686
735,With Project,1003743,Des Plaines Landfill,"Cook, IL",Archdiocese of Chicago,1963,1983,Closed,6914371,6914370,1983,Yes,0.525,2012,42.0689,-87.8653
736,With Project,,Dixon / GROP Landfill No. 2,"Lee, IL","Republic Services, Inc.",1980,1998,Closed,1140780,1140780,1998,Yes,2.16,,41.731,-89.395
737,Candidate,1007589,Environfil LF,"McDonough, IL","Waste Management, Inc.",1970,2164,Open,11945144,4139093,2016,Yes,0.448,2012,40.4614,-90.6788
738,With Project,1007701,Environtech LF,"Grundy, IL","Republic Services, Inc.",1987,2016,Closed,7983000,6387000,2003,Yes,1.37,2012,41.37299,-88.4026
740,With Project,1006251,Five Oaks RDF,"Christian, IL","Waste Management, Inc.",1978,2065,Open,19799388,12807120,2016,Yes,4.3278,,39.54693,-89.29487
741,Other,,Freeport Municipal Landfill #4,"Stephenson, IL","City of Freeport, IL",1987,2003,Closed,780000,780000,2003,No,,,42.2657,-89.6212
742,With Project,1006207,Greene Valley RDF,"DuPage, IL",Forest Preserve District of DuPage County,1974,1996,Closed,16282282,,,Yes,6,,41.73045,-88.07444
743,Other,,H.O.D. Landfill,"Lake, IL","Waste Management, Inc.",1963,1984,Closed,,2000000,1984,Yes,0.432,,42.476,-88.082
744,Other,,Herrin Municipal,"Williamson, IL","City of Herrin, IL",1975,1994,Closed,,1980816,,No,,,37.776,-89.0055
745,Candidate,1007073,Hickory Ridge Landfill Inc.,"Pike, IL","Coulter Companies, Inc.",1976,2024,Open,4614103,3348667,2016,Yes,0.567,2012,39.698,-90.914
746,Candidate,1002088,Illinois Landfill Inc.,"Vermilion, IL","Republic Services, Inc.",1975,2305,Open,11616555,2402426,2016,No,,,40.445375,-87.63883
748,Candidate,1005916,Indian Creek Landfill #2,"Tazewell, IL","Coulter Companies, Inc.",2004,2048,Open,12127500,3579757,2016,Yes,0.851,2012,40.427915,-89.464918
749,Other,,Jerseyville Sanitation Landfill,"Jersey, IL","RCS, Inc.",1965,1992,Closed,,,,No,,,39.0869,-90.3189
750,Other,,K & H Disposal Landfill,"Iroquois, IL","Republic Services, Inc.",1974,1993,Closed,,8887255,,No,,,40.8833,-87.6161
751,With Project,1006418,Kankakee County RDF,"Kankakee, IL","Waste Management, Inc.",1976,2005,Closed,3336571,3336571,2005,Yes,0.743,2012,41.031,-87.8624
753,Candidate,1003516,Knox County LF #3,"Knox, IL",Knox County Landfill Committee,1974,2026,Open,3600765,3022236,2016,No,,,41.015,-90.248
754,With Project,1003588,Lake LF,"Cook, IL","Waste Management, Inc.",1970,1993,Closed,15786502,15786494,1993,Yes,3.08,2012,42.1055,-87.8125
755,With Project,,Land & Lakes #1 and #2,"Cook, IL",Land and Lakes Company,1971,1993,Closed,,11183620,,Yes,,,41.644648,-87.59333
756,With Project,1007047,Land & Lakes #3,"Cook, IL",Land and Lakes Company,1977,1998,Closed,15000000,15000000,,Yes,0.589,2012,41.6737,-87.5732
757,With Project,1008115,Land & Lakes/Dolton LF,"Cook, IL",Land and Lakes Company,1974,2014,Closed,,12024778,2014,Yes,0.953,2012,41.6446,-87.5979
758,With Project,1006349,Land & Lakes/Willow Ranch Landfill,"Will, IL",Land and Lakes Company,1981,1992,Closed,,2000000,1992,Yes,0.385,2012,41.670518,-88.062795
759,Candidate,1002090,LandComp Landfill,"LaSalle, IL","Republic Services, Inc.",1998,2055,Open,9350423,3402590,2016,Yes,0.997,2012,41.347899,-88.913509
760,Candidate,1004887,Landfill 33 Ltd.,"Effingham, IL",Landfill 33 Ltd.,1981,2022,Open,2245200,1810871,2016,No,,,39.101,-88.526
761,Other,,Lansing LF,"Cook, IL",Prairie Preservation,,,Closed,,1300000,1999,Yes,,,41.586111,-87.55
762,Other,,Laraway RDF,"Will, IL","Waste Management, Inc.",1972,2004,Closed,711240,693240,2003,Yes,,,41.45101,-88.10807
763,With Project,1003627,Lee County Landfill,"Lee, IL","Republic Services, Inc.",1998,2090,Open,10200000,4030000,2003,Yes,3.65,,41.7285,-89.4017
764,Candidate,1002091,Litchfield-Hillsboro LF,"Montgomery, IL","Republic Services, Inc.",1976,2033,Open,4630910,3090757,2016,Yes,1.01,2012,39.17,-89.615
765,With Project,1002249,Livingston LF,"Livingston, IL","Republic Services, Inc.",1978,2040,Open,82413817,50654197,2016,Yes,,,40.93178,-88.65735
766,With Project,1007633,Mallard Lake LF,"DuPage, IL",Forest Preserve District of DuPage County,1975,1999,Closed,24468450,24468450,,Yes,6.55,2012,41.9525,-88.1442
767,With Project,1008269,Milam Recycling and Disposal Facility,"St. Clair, IL","Waste Management, Inc.",1965,2037,Open,40550641,27200095,2016,Yes,5.05,2012,38.6547,-90.1302
768,Other,1004311,Modern Landfill,"St. Clair, IL","Republic Services, Inc.",1950,1997,Closed,6014100,6014100,,Yes,0.488,2012,38.48846,-90.02839
769,Other,1004541,Morris Community LF,"Grundy, IL",City of Morris,1976,1994,Closed,1200000,1022000,,Yes,0.265,2012,41.3716,-88.4026
770,Other,,Multi-County LF,"Douglas, IL",Landfill Owner of Multi-County LF,1975,1991,Closed,,1307103,,No,,,39.875,-88.14
773,Other,,Paxton LF Corporation #2,"Cook, IL",,1976,1992,Closed,,9766782,,Yes,0.962,,41.68167,-87.57284
774,Other,,Pekin Metropolitan Landfill,"Tazewell, IL",Smith family,1970,2001,Closed,,3329169,1999,No,,,40.5664,-89.6282
775,Candidate,1003986,Peoria City/County Landfills #1 and #2,"Peoria, IL","City of Peoria, IL; County of Peoria, IL",1976,2024,Open,10578488,8114702,2016,Yes,2.28,2014,40.742538,-89.798606
776,Other,,Peoria Disposal Company #1,"Peoria, IL",Peoria Disposal Company,1979,2008,Closed,1108200,889200,2003,No,,,40.7655,-89.6983
777,Other,1006306,"Perry Ridge Landfill, Inc.","Perry, IL","GERE Properties, Inc.",2004,2040,Open,10040924,866976,2016,No,,,38.035,-89.301
778,With Project,1006176,Prairie View RDF,"Will, IL","Will County, IL",2004,2034,Open,24161285,8939286,2016,Yes,3.312,2014,41.34,-88.13
779,Candidate,1004059,Quad Cities Landfill Phase IV,"Rock Island, IL","Waste Connections, Inc.",1998,2059,Open,23373015,6482230,2016,Yes,1.04,2012,41.379843,-90.510288
780,Other,1006285,"Quad Cities LF Phases 1, 2, & 3","Rock Island, IL","Republic Services, Inc.",1983,1999,Closed,9999000,5128391,1999,Yes,0.351,2012,41.3825,-90.5128
781,Other,,Quincy Landfills #2 and #3,"Adams, IL",City of Quincy,1967,1978,Closed,,2187359,,No,,,39.9295,-91.27622
782,Other,,RCS Landfill,"Jersey, IL","Republic Services, Inc.",,2031,Open,1515700,584700,2003,Yes,,,39.08687,-90.31789
783,With Project,1004936,Rochelle Municipal #2,"Ogle, IL","City of Rochelle, IL",1972,2036,Open,10666593,4874546,2016,Yes,1.72,,41.926,-88.997
784,With Project,1003697,Roxana LF,"Madison, IL","Republic Services, Inc.",1975,2035,Open,58479106,24084811,2016,Yes,5.31,2012,38.8274,-90.0125
785,Other,,Salem Municipal Landfill #2,"Marion, IL","City of Salem, IL",1977,2012,Closed,274200,107200,2003,No,,,38.6165,-88.9453
786,Other,1007905,"Saline County Landfill, Inc.","Saline, IL","Republic Services, Inc.",1983,2006,Closed,1269000,1269000,2005,Yes,0.211,2012,37.671012,-88.462125
787,Candidate,1002096,Sangamon Valley LF - Areas 1 & 2,"Sangamon, IL","Republic Services, Inc.",1981,2031,Open,4786519,3560763,2016,Yes,0.676,2012,39.860188,-89.607711
788,With Project,1002493,Settler's Hill Recycling & Disposal Facility,"Kane, IL",Kane County Department of Environmental Management,1968,2006,Closed,,19560637,2006,Yes,4.06,2012,41.86931,-88.27085
789,With Project,1007702,South Barrington Landfill,"Cook, IL","Republic Services, Inc.",1937,1985,Closed,,1000000,,Yes,0.912,2012,42.0816,-88.13
790,Candidate,1004027,Southern Illinois Regional LF,"Jackson, IL","Republic Services, Inc.",1975,2072,Open,21465909,8703123,2016,Yes,1.59,2012,37.8417,-89.258
791,Other,,Spoon Ridge Landfill,"Fulton, IL","Republic Services, Inc.",1993,2008,Closed,,285603,2008,No,,,40.6558,-90.1634
792,With Project,1004806,Streator Area LF No. 3,"Livingston, IL","Republic Services, Inc.",1982,2005,Closed,,2500000,2001,Yes,0.477,2012,41.0916,-88.8521
793,Candidate,1007810,Sumner Landfill,"Lawrence, IL","Republic Services, Inc.",1998,2067,Open,3352175,1980304,2016,No,,,38.7167,-87.8063
794,Other,1011179,Taylor Ridge LF,"Rock Island, IL","Midwest Methane, Inc.",1972,1999,Closed,,11168558,1998,Yes,3.5,,41.44378,-90.67702
795,With Project,1006204,Tazewell RDF,"Tazewell, IL","Waste Management, Inc.",1975,2007,Closed,,6701428,2007,Yes,1.44,2012,40.68181,-89.51613
796,With Project,1003696,Upper Rock Island County LF,"Rock Island, IL","Republic Services, Inc.",1981,2037,Open,10954872,7139233,2016,Yes,1.75,2012,41.53629,-90.3766
797,Other,,Urbana Municipal #1,"Champaign, IL","City of Urbana, IL",1976,1984,Closed,,634500,,Unknown,,,40.109433,-88.193347
798,Other,,Urbana Municipal #2,"Champaign, IL","City of Urbana, IL",1983,1986,Closed,,235000,,Unknown,,,40.109433,-88.193347
